"","participant","organism","condition","acceleration","trial.num","raw.points","rectangles.cleared","deaths","log.block","block","switch.type","varied","experiment","switch.faster","switch.slower"
"146","A1299WL9DI3TEF","human","HLHLM",0.4,34,900,52,4,1.6094379124341,5,0.2,1,1,0.2,0
"147","A1299WL9DI3TEF","human","HLHLM",0.4,35,1050,54,3,1.6094379124341,5,0.2,1,1,0.2,0
"148","A1299WL9DI3TEF","human","HLHLM",0.4,36,975,55,4,1.6094379124341,5,0.2,1,1,0.2,0
"149","A1299WL9DI3TEF","human","HLHLM",0.4,37,1025,57,4,1.6094379124341,5,0.2,1,1,0.2,0
"150","A1299WL9DI3TEF","human","HLHLM",0.4,38,500,56,9,1.6094379124341,5,0.2,1,1,0.2,0
"151","A1299WL9DI3TEF","human","HLHLM",0.4,39,750,50,5,1.6094379124341,5,0.2,1,1,0.2,0
"152","A1299WL9DI3TEF","human","HLHLM",0.6,22,650,50,6,1.09861228866811,3,0.4,1,1,0.4,0
"153","A1299WL9DI3TEF","human","HLHLM",0.4,40,1200,56,2,1.6094379124341,5,0.2,1,1,0.2,0
"154","A1299WL9DI3TEF","human","HLHLM",0.6,23,1150,50,1,1.09861228866811,3,0.4,1,1,0.4,0
"155","A1299WL9DI3TEF","human","HLHLM",0.6,24,625,45,5,1.09861228866811,3,0.4,1,1,0.4,0
"156","A1299WL9DI3TEF","human","HLHLM",0.2,25,1100,48,1,1.38629436111989,4,-0.4,1,1,0,-0.4
"157","A1299WL9DI3TEF","human","HLHLM",0.2,26,1025,53,3,1.38629436111989,4,-0.4,1,1,0,-0.4
"158","A1299WL9DI3TEF","human","HLHLM",0.2,27,1100,52,2,1.38629436111989,4,-0.4,1,1,0,-0.4
"159","A1299WL9DI3TEF","human","HLHLM",0.2,28,925,49,3,1.38629436111989,4,-0.4,1,1,0,-0.4
"160","A1299WL9DI3TEF","human","HLHLM",0.2,29,1175,51,1,1.38629436111989,4,-0.4,1,1,0,-0.4
"161","A144N9R7W4H67O","human","LLLLM",0.2,1,-50,30,8,0,1,0,0,1,0,0
"162","A144N9R7W4H67O","human","LLLLM",0.2,10,550,42,5,0.693147180559945,2,0,0,1,0,0
"163","A144N9R7W4H67O","human","LLLLM",0.2,11,975,43,1,0.693147180559945,2,0,0,1,0,0
"164","A144N9R7W4H67O","human","LLLLM",0.2,12,675,43,4,0.693147180559945,2,0,0,1,0,0
"165","A144N9R7W4H67O","human","LLLLM",0.2,13,600,40,4,0.693147180559945,2,0,0,1,0,0
"166","A144N9R7W4H67O","human","LLLLM",0.2,14,900,44,2,0.693147180559945,2,0,0,1,0,0
"167","A144N9R7W4H67O","human","LLLLM",0.2,15,950,42,1,0.693147180559945,2,0,0,1,0,0
"168","A144N9R7W4H67O","human","LLLLM",0.2,16,850,42,2,0.693147180559945,2,0,0,1,0,0
"169","A144N9R7W4H67O","human","LLLLM",0.2,17,700,44,4,1.09861228866811,3,0,0,1,0,0
"170","A144N9R7W4H67O","human","LLLLM",0.2,18,1150,50,1,1.09861228866811,3,0,0,1,0,0
"171","A144N9R7W4H67O","human","LLLLM",0.2,19,750,46,4,1.09861228866811,3,0,0,1,0,0
"172","A144N9R7W4H67O","human","LLLLM",0.2,2,100,36,8,0,1,0,0,1,0,0
"173","A144N9R7W4H67O","human","LLLLM",0.2,20,1175,47,0,1.09861228866811,3,0,0,1,0,0
"174","A144N9R7W4H67O","human","LLLLM",0.2,3,200,40,8,0,1,0,0,1,0,0
"175","A144N9R7W4H67O","human","LLLLM",0.2,4,300,36,6,0,1,0,0,1,0,0
"176","A144N9R7W4H67O","human","LLLLM",0.2,5,425,29,3,0,1,0,0,1,0,0
"177","A144N9R7W4H67O","human","LLLLM",0.2,6,725,33,1,0,1,0,0,1,0,0
"178","A144N9R7W4H67O","human","LLLLM",0.2,7,825,37,1,0,1,0,0,1,0,0
"179","A144N9R7W4H67O","human","LLLLM",0.2,8,1025,41,0,0,1,0,0,1,0,0
"180","A144N9R7W4H67O","human","LLLLM",0.2,9,750,42,3,0.693147180559945,2,0,0,1,0,0
"181","A144N9R7W4H67O","human","LLLLM",0.2,21,1025,41,0,1.09861228866811,3,0,0,1,0,0
"182","A144N9R7W4H67O","human","LLLLM",0.2,30,875,43,2,1.38629436111989,4,0,0,1,0,0
"183","A144N9R7W4H67O","human","LLLLM",0.2,31,1050,42,0,1.38629436111989,4,0,0,1,0,0
"184","A144N9R7W4H67O","human","LLLLM",0.2,32,975,47,2,1.38629436111989,4,0,0,1,0,0
"185","A144N9R7W4H67O","human","LLLLM",0.4,33,325,41,7,1.6094379124341,5,0.2,0,1,0.2,0
"186","A144N9R7W4H67O","human","LLLLM",0.4,34,1000,40,0,1.6094379124341,5,0.2,0,1,0.2,0
"187","A144N9R7W4H67O","human","LLLLM",0.4,35,1050,42,0,1.6094379124341,5,0.2,0,1,0.2,0
"188","A144N9R7W4H67O","human","LLLLM",0.4,36,1050,42,0,1.6094379124341,5,0.2,0,1,0.2,0
"189","A144N9R7W4H67O","human","LLLLM",0.4,37,825,45,3,1.6094379124341,5,0.2,0,1,0.2,0
"190","A144N9R7W4H67O","human","LLLLM",0.4,38,700,44,4,1.6094379124341,5,0.2,0,1,0.2,0
"191","A144N9R7W4H67O","human","LLLLM",0.4,39,800,44,3,1.6094379124341,5,0.2,0,1,0.2,0
"192","A144N9R7W4H67O","human","LLLLM",0.2,22,925,41,1,1.09861228866811,3,0,0,1,0,0
"193","A144N9R7W4H67O","human","LLLLM",0.4,40,1000,40,0,1.6094379124341,5,0.2,0,1,0.2,0
"194","A144N9R7W4H67O","human","LLLLM",0.2,23,850,46,3,1.09861228866811,3,0,0,1,0,0
"195","A144N9R7W4H67O","human","LLLLM",0.2,24,625,41,4,1.09861228866811,3,0,0,1,0,0
"196","A144N9R7W4H67O","human","LLLLM",0.2,25,425,37,5,1.38629436111989,4,0,0,1,0,0
"197","A144N9R7W4H67O","human","LLLLM",0.2,26,950,38,0,1.38629436111989,4,0,0,1,0,0
"198","A144N9R7W4H67O","human","LLLLM",0.2,27,825,37,1,1.38629436111989,4,0,0,1,0,0
"199","A144N9R7W4H67O","human","LLLLM",0.2,28,975,39,0,1.38629436111989,4,0,0,1,0,0
"200","A144N9R7W4H67O","human","LLLLM",0.2,29,1050,42,0,1.38629436111989,4,0,0,1,0,0
"201","A19DZAFFZEU6GN","human","MMMMM",0.4,1,-1800,20,23,0,1,0,-1,1,0,0
"202","A19DZAFFZEU6GN","human","MMMMM",0.4,10,575,23,0,0.693147180559945,2,0,-1,1,0,0
"203","A19DZAFFZEU6GN","human","MMMMM",0.4,11,475,23,1,0.693147180559945,2,0,-1,1,0,0
"204","A19DZAFFZEU6GN","human","MMMMM",0.4,12,525,21,0,0.693147180559945,2,0,-1,1,0,0
"205","A19DZAFFZEU6GN","human","MMMMM",0.4,13,600,24,0,0.693147180559945,2,0,-1,1,0,0
"206","A19DZAFFZEU6GN","human","MMMMM",0.4,14,550,26,1,0.693147180559945,2,0,-1,1,0,0
"207","A19DZAFFZEU6GN","human","MMMMM",0.4,15,575,23,0,0.693147180559945,2,0,-1,1,0,0
"208","A19DZAFFZEU6GN","human","MMMMM",0.4,16,500,24,1,0.693147180559945,2,0,-1,1,0,0
"209","A19DZAFFZEU6GN","human","MMMMM",0.4,17,700,28,0,1.09861228866811,3,0,-1,1,0,0
"210","A19DZAFFZEU6GN","human","MMMMM",0.4,18,775,31,0,1.09861228866811,3,0,-1,1,0,0
"211","A19DZAFFZEU6GN","human","MMMMM",0.4,19,725,29,0,1.09861228866811,3,0,-1,1,0,0
"212","A19DZAFFZEU6GN","human","MMMMM",0.4,2,-1675,29,24,0,1,0,-1,1,0,0
"213","A19DZAFFZEU6GN","human","MMMMM",0.4,20,450,26,2,1.09861228866811,3,0,-1,1,0,0
"214","A19DZAFFZEU6GN","human","MMMMM",0.4,3,-1450,38,24,0,1,0,-1,1,0,0
"215","A19DZAFFZEU6GN","human","MMMMM",0.4,4,-1300,36,22,0,1,0,-1,1,0,0
"216","A19DZAFFZEU6GN","human","MMMMM",0.4,5,-575,37,15,0,1,0,-1,1,0,0
"217","A19DZAFFZEU6GN","human","MMMMM",0.4,6,150,30,6,0,1,0,-1,1,0,0
"218","A19DZAFFZEU6GN","human","MMMMM",0.4,7,550,22,0,0,1,0,-1,1,0,0
"219","A19DZAFFZEU6GN","human","MMMMM",0.4,8,425,21,1,0,1,0,-1,1,0,0
"220","A19DZAFFZEU6GN","human","MMMMM",0.4,9,600,24,0,0.693147180559945,2,0,-1,1,0,0
"221","A19DZAFFZEU6GN","human","MMMMM",0.4,21,500,24,1,1.09861228866811,3,0,-1,1,0,0
"222","A19DZAFFZEU6GN","human","MMMMM",0.4,30,550,22,0,1.38629436111989,4,0,-1,1,0,0
"223","A19DZAFFZEU6GN","human","MMMMM",0.4,31,500,20,0,1.38629436111989,4,0,-1,1,0,0
"224","A19DZAFFZEU6GN","human","MMMMM",0.4,32,525,21,0,1.38629436111989,4,0,-1,1,0,0
"225","A19DZAFFZEU6GN","human","MMMMM",0.4,33,500,20,0,1.6094379124341,5,0,-1,1,0,0
